customerID,name,address
C0000,Customer 0000,0 Example Street
C0001,Customer 0001,1 Example Street
C0002,Customer 0002,2 Example Street
C0003,Customer 0003,3 Example Street
C0004,Customer 0004,4 Example Street
C0005,Customer 0005,5 Example Street
C0006,Customer 0006,6 Example Street
C0007,Customer 0007,7 Example Street
C0008,Customer 0008,8 Example Street
C0009,Customer 0009,9 Example Street
C0010,Customer 0010,10 Example Street
C0011,Customer 0011,11 Example Street
C0012,Customer 0012,12 Example Street
C0013,Customer 0013,13 Example Street
C0014,Customer 0014,14 Example Street
C0015,Customer 0015,15 Example Street
C0016,Customer 0016,16 Example Street
C0017,Customer 0017,17 Example Street
C0018,Customer 0018,18 Example Street
C0019,Customer 0019,19 Example Street
C0020,Customer 0020,20 Example Street
C0021,Customer 0021,21 Example Street
C0022,Customer 0022,22 Example Street
C0023,Customer 0023,23 Example Street
C0024,Customer 0024,24 Example Street
C0025,Customer 0025,25 Example Street
C0026,Customer 0026,26 Example Street
C0027,Customer 0027,27 Example Street
C0028,Customer 0028,28 Example Street
C0029,Customer 0029,29 Example Street
C0030,Customer 0030,30 Example Street
C0031,Customer 0031,31 Example Street
C0032,Customer 0032,32 Example Street
C0033,Customer 0033,33 Example Street
C0034,Customer 0034,34 Example Street
C0035,Customer 0035,35 Example Street
C0036,Customer 0036,36 Example Street
C0037,Customer 0037,37 Example Street
C0038,Customer 0038,38 Example Street
C0039,Customer 0039,39 Example Street
C0040,Customer 0040,40 Example Street
C0041,Customer 0041,41 Example Street
C0042,Customer 0042,42 Example Street
C0043,Customer 0043,43 Example Street
C0044,Customer 0044,44 Example Street
C0045,Customer 0045,45 Example Street
C0046,Customer 0046,46 Example Street
C0047,Customer 0047,47 Example Street
C0048,Customer 0048,48 Example Street
C0049,Customer 0049,49 Example Street
C0050,Customer 0050,50 Example Street
C0051,Customer 0051,51 Example Street
C0052,Customer 0052,52 Example Street
C0053,Customer 0053,53 Example Street
C0054,Customer 0054,54 Example Street
C0055,Customer 0055,55 Example Street
C0056,Customer 0056,56 Example Street
C0057,Customer 0057,57 Example Street
C0058,Customer 0058,58 Example Street
C0059,Customer 0059,59 Example Street
C0060,Customer 0060,60 Example Street
C0061,Customer 0061,61 Example Street
C0062,Customer 0062,62 Example Street
C0063,Customer 0063,63 Example Street
C0064,Customer 0064,64 Example Street
C0065,Customer 0065,65 Example Street
C0066,Customer 0066,66 Example Street
C0067,Customer 0067,67 Example Street
C0068,Customer 0068,68 Example Street
C0069,Customer 0069,69 Example Street
C0070,Customer 0070,70 Example Street
C0071,Customer 0071,71 Example Street
C0072,Customer 0072,72 Example Street
C0073,Customer 0073,73 Example Street
C0074,Customer 0074,74 Example Street
C0075,Customer 0075,75 Example Street
C0076,Customer 0076,76 Example Street
C0077,Customer 0077,77 Example Street
C0078,Customer 0078,78 Example Street
C0079,Customer 0079,79 Example Street
